origem_fecha,alvo_fecha,h,variedade,previsto,lo60,hi60,lo80,hi80,igpdi_base,spec
2026-07-25,2026-08-01,1,arra_15,14.4,13.7,15.1,,,1202.299,NHITS+XGB univariado h=6
2026-07-25,2026-08-01,1,vitoria,8.195,7.77,8.62,,,1202.299,NHITS+XGB univariado h=6
2026-08-01,2026-08-08,1,arra_15,14.2737,13.6301,14.9173,13.4583,15.0891,1202.299,NHITS+XGB univariado h=6
2026-08-01,2026-08-08,1,vitoria,8.5114,8.1018,8.9211,7.8085,9.2144,1202.299,NHITS+XGB univariado h=6
2026-08-08,2026-08-15,1,arra_15,13.3274,12.8663,13.7884,12.4558,14.1989,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-08-15,2,arra_15,14.239,13.4815,14.9965,12.5902,15.8878,1202.299,NHITS+XGB univariado h=6
2026-08-08,2026-08-15,1,vitoria,7.8606,7.3279,8.3933,6.9164,8.8047,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-08-15,2,vitoria,8.3559,7.6264,9.0854,7.2505,9.4613,1202.299,NHITS+XGB univariado h=6
2026-08-15,2026-08-22,1,arra_15,11.914,11.3224,12.5056,11.021,12.8071,1192.015,NHITS+XGB univariado h=6
2026-08-08,2026-08-22,2,arra_15,13.3972,12.6576,14.1368,12.0424,14.7521,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-08-22,3,arra_15,14.1758,13.007,15.3445,12.5257,15.8258,1202.299,NHITS+XGB univariado h=6
2026-08-15,2026-08-22,1,vitoria,8.2355,7.885,8.586,7.6517,8.8193,1192.015,NHITS+XGB univariado h=6
2026-08-08,2026-08-22,2,vitoria,7.9714,6.9263,9.0165,6.5475,9.3952,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-08-22,3,vitoria,8.4977,7.3535,9.642,6.9697,10.0257,1202.299,NHITS+XGB univariado h=6
2026-08-22,2026-08-29,1,arra_15,11.0203,10.4687,11.5718,10.1145,11.926,1192.015,NHITS+XGB univariado h=6
2026-08-15,2026-08-29,2,arra_15,11.5467,10.5129,12.5805,10.3469,12.7465,1192.015,NHITS+XGB univariado h=6
2026-08-08,2026-08-29,3,arra_15,13.1618,12.4276,13.8959,11.5469,14.7767,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-08-29,4,arra_15,13.7453,12.5499,14.9407,11.8564,15.6342,1202.299,NHITS+XGB univariado h=6
2026-08-22,2026-08-29,1,vitoria,7.9,7.5177,8.2824,7.3872,8.4129,1192.015,NHITS+XGB univariado h=6
2026-08-15,2026-08-29,2,vitoria,8.3834,7.6104,9.1564,7.3799,9.3869,1192.015,NHITS+XGB univariado h=6
2026-08-08,2026-08-29,3,vitoria,8.261,7.2343,9.2876,6.7032,9.8187,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-08-29,4,vitoria,8.7216,7.6084,9.8348,7.0817,10.3615,1202.299,NHITS+XGB univariado h=6
2026-08-29,2026-09-05,1,arra_15,10.4698,9.8837,11.0559,9.7043,11.2352,1192.015,NHITS+XGB univariado h=6
2026-08-22,2026-09-05,2,arra_15,10.0992,9.1701,11.0282,9.0037,11.1946,1192.015,NHITS+XGB univariado h=6
2026-08-15,2026-09-05,3,arra_15,11.1175,10.0419,12.1931,9.7265,12.5086,1192.015,NHITS+XGB univariado h=6
2026-08-08,2026-09-05,4,arra_15,12.9822,11.8844,14.0799,11.0419,14.9224,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-09-05,5,arra_15,13.7132,12.526,14.9005,11.0688,16.3577,1202.299,NHITS+XGB univariado h=6
2026-08-29,2026-09-05,1,vitoria,8.2777,7.8832,8.6722,7.6272,8.9283,1192.015,NHITS+XGB univariado h=6
2026-08-22,2026-09-05,2,vitoria,8.1389,7.5025,8.7754,7.0202,9.2577,1192.015,NHITS+XGB univariado h=6
2026-08-15,2026-09-05,3,vitoria,8.4758,7.4809,9.4707,6.9793,9.9723,1192.015,NHITS+XGB univariado h=6
2026-08-08,2026-09-05,4,vitoria,8.4058,7.1602,9.6514,6.7276,10.084,1192.015,NHITS+XGB univariado h=6
2026-08-01,2026-09-05,5,vitoria,9.0738,7.8743,10.2733,7.2098,10.9378,1202.299,NHITS+XGB univariado h=6
2026-08-29,2026-09-12,2,arra_15,10.4536,9.6888,11.2183,9.3109,11.5962,1192.015,NHITS+XGB univariado h=6
2026-08-22,2026-09-12,3,arra_15,10.1391,8.9345,11.3437,8.099,12.1792,1192.015,NHITS+XGB univariado h=6
2026-08-15,2026-09-12,4,arra_15,11.0944,10.1694,12.0195,8.708,13.4808,1192.015,NHITS+XGB univariado h=6
2026-08-08,2026-09-12,5,arra_15,12.4853,11.2609,13.7097,10.1635,14.807,1192.015,NHITS+XGB univariado h=6
